,Unnamed: 0,text,pseudo_label_rubert,confidence_rubert,pred_label,confidence,agree?,pseudo_label_ensemble_final,pseudo_label_final
41,41,"не пришло, долго мучился со спором, продавец не хотел возвращать деньги, если вернул бы сразу без тягомотины поставил бы 5 звезд",нет товара,0.5656885997081226,нет товара,0.9487093091011048,True,нет товара,нет товара
42,42,Порвались как и у всех,одежда,0.5220220361889071,unknown,0.4292671680450439,False,одежда,одежда
43,43,РЕКОМЕНДУЮ.,нет товара,0.4164113622700373,unknown,0.3596141934394836,False,нет товара,нет товара
44,44,"Товар не пришёл, продавец не вернул деньги и обвинял меня во лжи!",нет товара,0.5411074561160016,нет товара,0.996739625930786,True,нет товара,нет товара
45,45,Сборки в коленках. Не обтягивают ,одежда,0.5676791682657127,обувь,0.825326681137085,False,одежда,одежда
46,46,"Хорошая_x000D_
, все понравилось, но заказывала дочери, ей  оказалась большой в плечах. Зато подошла мне) Со Сдеком была проблема, никак не могли доставить, неделю ждала и &в итоге  забрала сама.",товары для детей,0.4664054512628851,товары для детей,0.9352658987045288,True,товары для детей,товары для детей
47,47,Пришло очень быстро в Москву . Всем доволен ,нет товара,0.5436901529418565,unknown,0.25185227394104,False,нет товара,нет товара
48,48,"так себе,отлепляется спокойно на 1 день носки",украшения и аксессуары,0.4784794904195639,unknown,0.5552337765693665,False,украшения и аксессуары,украшения и аксессуары
49,49,"размер маленький ,а так очень даже ничего",одежда,0.5373460192187935,unknown,0.5790674686431885,False,одежда,одежда
50,50,носить только в огород.,одежда,0.5011574941832869,unknown,0.4412514269351959,False,одежда,одежда
51,51,"ждала заказ 3 месяца,товар так и не пришел. доставка была платная,но трек не отслеживался вообще. деньги вернули полностью за 2 дня",нет товара,0.4592777792634903,нет товара,0.9904831051826476,True,нет товара,нет товара
52,52,"Не в восторге, на фото лучше",одежда,0.4208342066477199,unknown,0.3172816038131714,False,одежда,одежда
53,53,"Заказ так и не пришёл, открыла спор, продавец его не принял, просил закрыть спор и подождать, пришлось привлекать алиэкспресс, возврат денег одобрили, деньги пришли.",нет товара,0.4124787627363634,нет товара,0.9727404117584229,True,нет товара,нет товара
54,54,"отличное платье,покупаю не первый раз",одежда,0.5357200107512088,одежда,0.9794704914093018,True,одежда,одежда
55,55,"соответствует описанию,доставка 2 недели во владимирскую область. спасибо.",одежда,0.5179900805682142,unknown,0.2381225675344467,False,одежда,одежда
56,56,"заказ не пришел, ждала 3 месяца. _x000D_
после спора, продавец вернул деньги) _x000D_
за это продавцу спасибо",нет товара,0.5480283427956436,нет товара,0.9539126753807068,True,нет товара,нет товара
57,57,Не подошёл размер ,одежда,0.5750762038272661,нет товара,0.694423496723175,False,одежда,одежда
58,58,"Майка хорошая, единственное есть торчащие нитки. Заказ пришёл за месяц",одежда,0.5745715025717723,unknown,0.565464437007904,False,одежда,одежда
59,59,"Спасибо,подошло по размеру.Все понравилось в придачу маленький подарочек. Продавец молодец!",одежда,0.4463815748483571,unknown,0.4870585501194,False,одежда,одежда
60,60,Рубашка хорошая ! Спасибо продавцу !,одежда,0.396585793068622,одежда,0.6710091829299927,True,одежда,одежда
61,61,отклеивается,украшения и аксессуары,0.580369575191208,unknown,0.3923503160476684,False,украшения и аксессуары,украшения и аксессуары
62,62,"шло 2 месяца,но неплохо",одежда,0.5744695767153434,unknown,0.3214864432811737,False,одежда,одежда
63,63,Очень коротко,одежда,0.4405453093603316,unknown,0.4676762819290161,False,одежда,одежда
64,64,ЦЕНА СООТВЕТСТВУЕТ ТОВАРУ.РЕКОМЕНДУЮ,одежда,0.5413970530492644,unknown,0.276628315448761,False,одежда,одежда
65,65,"Блузка очень понравилась! Полностью соответствует фото. Брала на два размера больше. Немного свободная, но я так и хотела.",одежда,0.4833913266980949,одежда,0.9762783050537108,True,одежда,одежда
66,66,"ТОВАР НЕ ПОЛУЧИЛА , ПРОДОВЕЦ НЕ ХОЧЕТ ОБЩАТЬСЯ , ДЕНЕГ СВОИХ НЕ МОГУ ВЕРНУТЬ . У ЭТОГО ПРОДОВЦА НЕ ЗАКАЗЫВАЙТЕ  НЕ ТОВАРА НЕ ДЕНЕГ .",нет товара,0.5487796980995154,нет товара,0.997548282146454,True,нет товара,нет товара
67,67,Кофточка оказалось очень маленькой. Пришлась в пору моей 5-ти летней племяннице.,товары для детей,0.5486518309024325,unknown,0.5017509460449219,False,товары для детей,товары для детей
68,68,Ужасная синтетика! Расстроилась. Размер наверно 48-50. Своих денег не стоит вообще! Хотела даже спор открыть,текстиль,0.5913122820943634,текстиль,0.9469271302223206,True,текстиль,текстиль
69,69,Спасибо.,нет товара,0.5758282021923301,unknown,0.4995382130146026,False,нет товара,нет товара
70,70,продавца рекомендую,нет товара,0.4734738549255246,unknown,0.3837117254734039,False,нет товара,нет товара
71,71,"Ничего не получила, а прошло уже 4 месяца!!! Развод!!! Предлагает ждать ещё!! Смешно уже!! Люди не ведитесь!!! ",нет товара,0.4593930000292619,нет товара,0.992667317390442,True,нет товара,нет товара
72,72,"очень не довольна, это не платье а просто ужас!!! Не соответствует картинке.",одежда,0.4867507896235512,нет товара,0.8962467312812805,False,одежда,одежда
73,73,"Нормальная рубашка. Своих денег наверно не стоит, но ничего ужасного в ней нет. Нитки торчат, но сшито ровно. Не пахнет почти ",одежда,0.5720055118656352,одежда,0.6160890460014343,True,одежда,одежда
74,74,супео,нет товара,0.4458904877296356,unknown,0.4038470387458801,False,нет товара,нет товара
75,75,"Большой, и на вид как купальник!",одежда,0.479812908400298,одежда,0.8505663275718689,True,одежда,одежда
76,76,все подошло . ткань не очень.,текстиль,0.5405774084249,текстиль,0.8914613723754883,True,текстиль,текстиль
77,77,ужасно товар не пришол деньги не вернули . продавец написал что я вру и заказ получила я в шоке !!!!! просто отвратительное!!!!,нет товара,0.5531402319771148,нет товара,0.9911261200904846,True,нет товара,нет товара
78,78,Не по размеру и плохо пошито,одежда,0.5317389997073931,unknown,0.4295705258846283,False,одежда,одежда
79,79,It ok like it,нет товара,0.5513384939046946,unknown,0.3190096616744995,False,нет товара,нет товара
80,80,доставка быстрая. отслеживаются,одежда,0.4977358698434465,unknown,0.2418829202651977,False,одежда,одежда
81,81,"Товар не пришел!!! Продавец отписывался, но деньги вернул сам Алиэкспресс, а не продавец!!!",нет товара,0.5008790372324283,нет товара,0.9964728951454164,True,нет товара,нет товара
82,82,"Товар заказала почти три месяца назад ,но он так и не пришёл . Продавец говорит ,что отправил . ",нет товара,0.5823243889256466,нет товара,0.9723413586616516,True,нет товара,нет товара
83,83,Все здорово ,одежда,0.4683120242389567,unknown,0.2771201431751251,False,одежда,одежда
84,84,Хорошая майка! Все как на картинке и качество хорошее !,одежда,0.5090685188228254,одежда,0.6861072182655334,True,одежда,одежда
85,85,Быстро и в хорошем качестве,одежда,0.4919056715480241,unknown,0.3915303349494934,False,одежда,одежда
86,86,товар мне не понравился открыли спор.Продовец оказался добросовестным и вернул мне деньги,нет товара,0.5365411552572652,unknown,0.5717901587486267,False,нет товара,нет товара
87,87,Качество отличное! СПАСИБО!!! РЕКОМЕНДУЮ!,одежда,0.4599124492651321,unknown,0.3533122837543487,False,одежда,одежда
88,88,Все хорошо,одежда,0.4808208528664568,unknown,0.310622364282608,False,одежда,одежда
89,89,"товар не пришел,хотя прошло больше 3 месяцев, продавец отказывался возвращать деньги, говорил ещё подождать ( куда ещё?!).деньги вернули через али.",нет товара,0.4354560968060174,нет товара,0.9957498908042908,True,нет товара,нет товара
90,90,Пришёл не тот цвет который я заказала!,одежда,0.5172207669738353,нет товара,0.8591180443763733,False,одежда,одежда
91,91,на мой 52 4xl самый раз,одежда,0.4931273796582404,unknown,0.236358031630516,False,одежда,одежда
92,92,материал вообще не понравился,текстиль,0.5009015044253649,unknown,0.4866936802864074,False,текстиль,текстиль
93,93,Спасибо! Соответствует описанию,одежда,0.4023774368602298,unknown,0.2916934490203857,False,одежда,одежда
94,94,"Товар заказывала в апреле,до августа так и не пришёл,деньги продавец вернуть отказался.Не рекомендую",нет товара,0.5032382763653824,нет товара,0.8755338788032532,True,нет товара,нет товара
95,95,Пришёл рваный! Я,одежда,0.4001469353633827,unknown,0.3353752791881561,False,одежда,одежда
96,96,"Заказываю второй раз, как и в первый , заказ не пришел, деньги вернули",нет товара,0.5876639308088785,нет товара,0.995344877243042,True,нет товара,нет товара
97,97,два раза заказ от этого продавца не пришёл. причём второй раз заказ даже не был отправлен через полтора месяца.,нет товара,0.4515109189988567,unknown,0.5819190740585327,False,нет товара,нет товара
98,98,"брак,очень растроенна",одежда,0.5509246270340301,нет товара,0.9641558527946472,False,одежда,одежда
99,99,Продавец слукавил. Материал шарфв не является обещанным кашемиром.,текстиль,0.5154223407172842,unknown,0.5403319001197815,False,текстиль,текстиль
100,100,Посылка не получена. Отметка была сделана по ошибке. Просьба написать о доставке. ,нет товара,0.509491034674968,нет товара,0.98346346616745,True,нет товара,нет товара
101,101,Вещь только на маленькую грудь. Никакой второй размер туда не поместится и ничего не держит. Может служить только в качестве накладки для тех у кого на теле минимум.,одежда,0.422308039234074,одежда,0.8845784068107605,True,одежда,одежда
102,102,Цвет другой совсем не как на рисунке,одежда,0.5626230710265218,unknown,0.5259988903999329,False,одежда,одежда
103,103,"Really nice love them all with logo and nice sturdy quality,i will buy more.",текстиль,0.4526980711360131,unknown,0.2657854557037353,False,текстиль,текстиль
104,104,доставка две недели. вещь абсолютно бесполезная. коеиться и держиться хорошо. но мою обвисшую грудь никак не корректирует,одежда,0.5565760171311894,нет товара,0.8412027955055237,False,одежда,одежда
105,105,"пошла вся в пятнах,так ещё и по шву разрыв",одежда,0.5883733027398956,unknown,0.2978537380695343,False,одежда,одежда
106,106,всё хорошо. просто заказ шёл долго,одежда,0.5776095486509351,unknown,0.401227205991745,False,одежда,одежда
107,107,Очень маленькая. Хорошо хоть подруге подошло.,одежда,0.503309781793116,товары для детей,0.8011035919189453,False,одежда,одежда
108,108,Доставка очень быстрая.Платье просто супер!Рекомендую!,одежда,0.4760305095870714,unknown,0.2975168824195862,False,одежда,одежда
109,109,"Товар не пришёл. Открыла спор- продавец попросил отклонить и ещё подождать , убрать спор и не портить ему статистику. Отклонила спор , в итоге ни возврата денег , ни платья",нет товара,0.5987046762881205,нет товара,0.9949061870574952,True,нет товара,нет товара
110,110,"леггинсы супер.  заказывала черные М,чтобы не просвеч. в след раз закажу ещё и серые. очень быстро доставили",текстиль,0.392283621392901,unknown,0.508709192276001,False,текстиль,текстиль
111,111,"Продавец так и не отправил мой заказ в течение 23 дней. статус ""готов к отправке"" не менялся все это время. на мои сообщения продавец не отвечал. очень недовольна магазином",нет товара,0.5012654940019712,нет товара,0.6112141013145447,True,нет товара,нет товара
112,112,размер не совпал(меньше),одежда,0.4421863478492377,unknown,0.3038501739501953,False,одежда,одежда
113,113,"Это просто кошмар какой то,заказывала в конце июля,ждала до декабря,товар так и не пришёл,да ещё продавец постоянно просил чтоб отменили спор,ни кому не советую ",нет товара,0.5349955240358087,нет товара,0.985134780406952,True,нет товара,нет товара
114,114,продавец отправил товар на другой адрес!! обман,нет товара,0.5510878264602965,нет товара,0.8967573046684265,True,нет товара,нет товара
115,115,"Нет вытачек на груди. Выглядит, как мешок. Ткань норм, тонкая синтетика.",текстиль,0.5567168839121548,текстиль,0.832573652267456,True,текстиль,текстиль
116,116,"Товар не пришёл ! Открыла спор с продавцом, а он его  просто закрыл :( очень расстроилась ! Не советую продавца и магазин ! ",нет товара,0.509148588451744,нет товара,0.9965049624443054,True,нет товара,нет товара
117,117,на 50 размер в обтягон. а так нормально. с продавом не общалсь.,одежда,0.5818931946829141,одежда,0.6443570256233215,True,одежда,одежда
118,118,"Цвет темно серый, а не светлый, как на картинке. А хотелось именно светло-серое. По покрою вопросов нет",одежда,0.5835469075050412,unknown,0.3876844346523285,False,одежда,одежда
119,119,качество супер. рекомендую)),одежда,0.596957623545319,unknown,0.2826112508773803,False,одежда,одежда
120,120,Отличный и качественный товар!!!,одежда,0.4564763557013494,unknown,0.23724927008152,False,одежда,одежда
121,121,"Розовые мерзкого цвета, не берите. Чёрные норм. ",текстиль,0.4683196851186636,нет товара,0.8097380995750427,False,нет товара,текстиль
122,122,"продавец вообще не отправил товар, два месяца мозг парил, урод.",нет товара,0.5530918143537813,нет товара,0.9963573813438416,True,нет товара,нет товара
123,123,"Товар не до шёл до меня , потерялся",нет товара,0.487153984348785,нет товара,0.9893621206283568,True,нет товара,нет товара
124,124,Размер куртки не соответствует вашей линейки размеров,одежда,0.5981631462371434,одежда,0.95725816488266,True,одежда,одежда
125,125,НИ ТОВАРА НЕ ДЕНЕГ!!! УЖАС!,нет товара,0.5866509262986398,нет товара,0.9727075695991516,True,нет товара,нет товара
126,126,Меньше месяца до Краснодара. Размер в размер. Пуговки на месте. Цвет яркий. Запаха нет ,одежда,0.5202920019482518,unknown,0.4883063733577728,False,одежда,одежда
127,127,"обычная майка с ужасным запахом, есть косяки на белой надписи как краска",одежда,0.5107669704398214,одежда,0.6353185176849365,True,одежда,одежда
128,128,Всё супер я очень довольна.,нет товара,0.5374534092141021,unknown,0.2320528477430343,False,нет товара,нет товара
129,129,отличное качество товаров,текстиль,0.5012388096709455,unknown,0.2363205552101135,False,текстиль,текстиль
130,130,Короткие рукава. Три четверти. Не так как на фото.,одежда,0.4853630494985126,unknown,0.2829305827617645,False,одежда,одежда
131,131,"Немного великоват, хоть и мой размер((",одежда,0.4715674744532257,unknown,0.2739052772521972,False,одежда,одежда
132,132,Для меня по длине это не платье к сожалению) ношу как пиджак) ,одежда,0.596520142181922,нет товара,0.7864522933959961,False,одежда,одежда
133,133,"не получила ,деньги вернул алиекспресс ,продавец отказался ворачивать",нет товара,0.5918794896128838,нет товара,0.9879277348518372,True,нет товара,нет товара
134,134,Огорчение долго шёл товар,одежда,0.3874533523620494,unknown,0.3433451354503631,False,одежда,одежда
135,135,"61 день ждал товар, везли наверно на черепахах.Больше заказывать тут не буду.",одежда,0.5764693768919567,unknown,0.5859705209732056,False,одежда,одежда
136,136,"Заказ не пришёл , деньги не вернули!!! Я заплатила за доставку и за товар 150 руб в пустую:(",нет товара,0.5171195808571348,нет товара,0.986516296863556,True,нет товара,нет товара
137,137,расцветка не та что я заказывала.,одежда,0.5809466295876734,unknown,0.4429603219032287,False,одежда,одежда
138,138,товар пришел с пятном с продавцом связался открыли спор деньги вернули продавец переживал извинялся ставлю 5+,одежда,0.4708057549507524,unknown,0.3673931658267975,False,одежда,одежда
139,139,"качество,размер. за спор не вернули деньги. очень огорчена",нет товара,0.4590626366401417,нет товара,0.7502892017364502,True,нет товара,нет товара
140,140,"не вздумайте тут покупать. мало того что трек не отслеживается, дак ещё и продавец предложил отправить снова",нет товара,0.5364339061816682,нет товара,0.9874734282493592,True,нет товара,нет товара
141,141,"Продавец не отправил товар и дал чужой трек. Недели 2 кормил обещаниями, что отправит, пока не открыла спор. Деньги вернул сразу!!!!!",нет товара,0.5438713676525441,нет товара,0.9924353957176208,True,нет товара,нет товара
142,142,"Товар ждал 4-месяца (продавец продлял защиту ) , товар не пришёл, деньги вернули.",нет товара,0.4436085423092766,нет товара,0.954900085926056,True,нет товара,нет товара
143,143,Все отлично!!!,нет товара,0.4820280039370463,unknown,0.2975983917713165,False,нет товара,нет товара
144,144,"Все как на фото, и цвет и форма.",одежда,0.5343967056287241,unknown,0.3180578649044037,False,одежда,одежда
145,145,Stunning! Great quality! Fast shipping,одежда,0.4920693433042061,unknown,0.2655990719795227,False,одежда,одежда
146,146,Все соответствует описанию и фото.,одежда,0.3840524546144342,unknown,0.2101103812456131,False,одежда,одежда
147,147,не пришли!!! спор ничего не дал! не берите к этого продавца ничего.,нет товара,0.5600367453516,нет товара,0.9968003034591676,True,нет товара,нет товара
148,148,"Заказ так и не пришёл,но ставлю 5 звёзд за отзывчивость продавца и возврат денег ",нет товара,0.3478784848546796,нет товара,0.9867760539054872,True,нет товара,нет товара
149,149,"Отличное качество, мама довольна ",одежда,0.4632275155817717,unknown,0.2649013102054596,False,одежда,одежда
150,150,"Качество так себе, но и цена соответствует",одежда,0.4886113699043593,unknown,0.4304448068141937,False,одежда,одежда
151,151,джинсы пришли с пятнами,одежда,0.5237159099968536,unknown,0.3884360492229461,False,одежда,одежда
152,152,кривая,одежда,0.4037133227121746,unknown,0.4826204776763916,False,одежда,одежда
153,153,"все как в описании,доставка быстрая, хороший материал.",текстиль,0.5639588149783521,unknown,0.2766565680503845,False,текстиль,текстиль
154,154,"Красивое , без запаха . Все соответствует. Очень ждала и довольна . Спасибо ! Рекомендую!",одежда,0.3948217685182162,unknown,0.2386036068201065,False,одежда,одежда
155,155,конченый продавец жду товар с 13 июля досих пор нет окрыл спор на все продавец не чего не делает,нет товара,0.4634939967111675,нет товара,0.9958940744400024,True,нет товара,нет товара
156,156,Отличные рубашки.Все подошло,одежда,0.5857661117310842,одежда,0.8787065744400024,True,одежда,одежда
157,157,как на картинке!,украшения и аксессуары,0.4380718446904109,unknown,0.3233504891395569,False,украшения и аксессуары,украшения и аксессуары
158,158,Юбка отличная.Дочке понравилось. Спасибо большое.,товары для детей,0.393487267198169,unknown,0.5432846546173096,False,товары для детей,товары для детей
159,159,леггинсы супер,одежда,0.5162771371404494,unknown,0.4330779016017914,False,одежда,одежда
160,160,Спасибо за красивый и качественный товар.,одежда,0.4353051571583625,unknown,0.3888091146945953,False,одежда,одежда
161,161,Все хорошо но она просвечиваеться более летний вариант,одежда,0.5336369663846405,unknown,0.2295141965150833,False,одежда,одежда
162,162,пришла быстро.спасибо продавцу.,одежда,0.4156175594776531,unknown,0.254154235124588,False,одежда,одежда
163,163,Спасибо все подошло,одежда,0.4335588584830677,unknown,0.2442643642425537,False,одежда,одежда
164,164,Заказ не пришёл продавец даже не отписался и никакого ответа ,нет товара,0.538512402198896,нет товара,0.9792103171348572,True,нет товара,нет товара
165,165,По качеству вроде претензий нет. подчеркивает наличие / отсутствие талии. ,одежда,0.4406652264752261,нет товара,0.7962386012077332,False,одежда,одежда
166,166,Штаны мне не понравились. Сильно собираются. Носить не буду,одежда,0.5894637330313515,обувь,0.7109975814819336,False,одежда,одежда
167,167,все отлично как на картинке и в описании рекомендую пришло за две недели до Сургута,одежда,0.4785623802867468,unknown,0.274634450674057,False,одежда,одежда
168,168,заказ шел долго. супер эффекта не нашла. стрелки пошли после первой носки! таких денег не стоят однозначно.,одежда,0.4450239929991834,нет товара,0.9343599677085876,False,одежда,одежда
169,169,"Товар не поступил, но деньги вернули, поэтому 5 звёзд.",нет товара,0.523884047092504,нет товара,0.9962858557701112,True,нет товара,нет товара
170,170,Очень прозрачное ,одежда,0.4170325601580799,unknown,0.3261277973651886,False,одежда,одежда
171,171,Размер совсем не такой очень мал в плечах написал продавцу ответил что сожалеет и всё не советую ни продовца ни тавар не берите.,одежда,0.5099537401201801,нет товара,0.9554427862167358,False,одежда,одежда
172,172,пришло ооооооочень быстро.качество отстой.за такие деньги ничего удивительного.,одежда,0.4782253425669761,нет товара,0.8496735692024231,False,одежда,одежда
173,173,"товар не пришел, ждала около 100 дней. деньги вернули без проблем после открытия спора. 2 звезды за общительного продавца!",нет товара,0.4969490701072024,нет товара,0.9901285171508788,True,нет товара,нет товара
174,174,"Продавец обманщик. Выдал чужой трек,потом просил закрыть спор и обещал выслать снова... Хорошо через службу поддержки вернул деньги",нет товара,0.5738122742764399,нет товара,0.6095094084739685,True,нет товара,нет товара
175,175,очень маленькая! на картинки лучше!,одежда,0.3243811997801506,unknown,0.4184596836566925,False,одежда,одежда
176,176,"качество хорошее, швы ровные, приятная ткань, не синтетика",одежда,0.5717792493860936,текстиль,0.9508786201477052,False,текстиль,одежда
177,177,Долго доставлялся заказ,одежда,0.4308376262237629,unknown,0.2953198254108429,False,одежда,одежда
178,178,"Jeans are not warm, ordinary, without a warm lining.",одежда,0.5822384317963991,unknown,0.5145596265792847,False,одежда,одежда
179,179,Быстро Качественно. Я довольна,одежда,0.4244042346572902,unknown,0.3198437988758087,False,одежда,одежда
180,180,Пришли большие ,одежда,0.5056040282621337,unknown,0.4251334369182586,False,одежда,одежда
181,181,Я довольна заказом.,нет товара,0.5718898924968713,unknown,0.2254282236099243,False,нет товара,нет товара
182,182,"Яркое, красивое, классное. Рекомендую.",украшения и аксессуары,0.5900937240197393,unknown,0.3813504576683044,False,украшения и аксессуары,украшения и аксессуары
183,183,I really like my new shirt! It looks very beautiful,одежда,0.5009513649346911,одежда,0.7165175080299377,True,одежда,одежда
184,184,Все хорошо! Спасибо!,одежда,0.5369657281931135,unknown,0.3147119879722595,False,одежда,одежда
185,185,норм маечка.без дырок,одежда,0.5623404554663478,одежда,0.7013635635375977,True,одежда,одежда
186,186,очень классные!,одежда,0.5009411044040113,unknown,0.2917630672454834,False,одежда,одежда
187,187,"товар не пришел деньги не вернули , продавец обманывает ни первый раз уже, ничего не заказывайте, это обман у этого продавца",нет товара,0.4630799455086438,нет товара,0.9967173933982848,True,нет товара,нет товара
188,188,Спасибо! соответствует описанию.,одежда,0.3736554895279381,unknown,0.2969431281089782,False,одежда,одежда
189,189,"Для девушек с длинным телом и короткими ногами, широкими бёдрами!",одежда,0.5857441738479857,обувь,0.7689903974533081,False,одежда,одежда
190,190,цвета не яркие как на фото,текстиль,0.4215040669276286,unknown,0.2751050889492035,False,текстиль,текстиль
191,191,быстро рвутся,одежда,0.4923960300787202,unknown,0.355159044265747,False,одежда,одежда
192,192,Отличный топ. Спасибо.,одежда,0.3901350711664575,одежда,0.9558735489845276,True,одежда,одежда
193,193,Все супер!!! быстро подошла по размеру М,одежда,0.4582449475831007,unknown,0.5892844796180725,False,одежда,одежда
194,194,"Все хорошо,заказываю второй раз в другом цвете.По платной доставке дошло за 17 дней.",одежда,0.4509554725835723,unknown,0.2870569229125976,False,одежда,одежда
195,195,"Подходят всем, и детям и взрослым)))",текстиль,0.4892195300903025,unknown,0.3350549638271332,False,текстиль,текстиль
